,"original vs detected","count",,,,,,,
5,"(Hip-Hop, Country)",2,,,,,,,
4,"(Hip-Hop, Childrens's)",2,,,,,,,
65,"(Folk, Rock&Pop)",2,,,,,,,
173,"(Folk, Religious)",2,,,,,,,
145,"(Folk, Latin)",2,,,,,,,
74,"(Folk, Alternative&Punk)",2,,,,,,,
155,"(Electronic&Dance, Latin)",2,,,,,,,
147,"(Electronic&Dance, Country)",2,,,,,,,
154,"(Electronic&Dance, Comedy&SpokenWord)",2,,,,,,,
197,"(EasyListening&Vocals, NewAge)",2,,,,,,,
247,"(EasyListening&Vocals, Latin)",2,,,,,,,
186,"(EasyListening&Vocals, Alternative&Punk)",2,,,,,,,
163,"(Comedy&SpokenWord, R&B&Soul)",2,,,,,,,
189,"(Comedy&SpokenWord, NewAge)",2,,,,,,,
1,"(Comedy&SpokenWord, EasyListening&Vocals)",2,,,,,,,
102,"(Comedy&SpokenWord, Blues)",2,,,,,,,
63,"(Classical, Blues)",2,,,,,,,
198,"(Childrens's, Soundtracks&More)",2,,,,,,,
17,"(Childrens's, Rock&Pop)",2,,,,,,,
98,"(Childrens's, Hip-Hop)",2,,,,,,,
141,"(Childrens's, Childrens's)",2,,,,,,,
73,"(Blues, World)",2,,,,,,,
151,"(Blues, Soundtracks&More)",2,,,,,,,
28,"(Blues, Latin)",2,,,,,,,
10,"(Blues, Jazz)",2,,,,,,,
33,"(Alternative&Punk, Folk)",2,,,,,,,
75,"(Alternative&Punk, Comedy&SpokenWord)",2,,,,,,,
94,"(Alternative&Punk, Blues)",2,,,,,,,
223,"(World, Soundtracks&More)",1,,,,,,,
130,"(World, Rock&Pop)",1,,,,,,,
101,"(World, R&B&Soul)",1,,,,,,,
171,"(World, Latin)",1,,,,,,,
86,"(World, EasyListening&Vocals)",1,,,,,,,
32,"(World, Classical)",1,,,,,,,
153,"(Soundtracks&More, World)",1,,,,,,,
227,"(Soundtracks&More, Rock&Pop)",1,,,,,,,
157,"(Soundtracks&More, Jazz)",1,,,,,,,
196,"(Soundtracks&More, Folk)",1,,,,,,,
181,"(Soundtracks&More, EasyListening&Vocals)",1,,,,,,,
55,"(Soundtracks&More, Comedy&SpokenWord)",1,,,,,,,
81,"(Soundtracks&More, Blues)",1,,,,,,,
0,"(Rock&Pop, World)",1,,,,,,,
78,"(Religious, Jazz)",1,,,,,,,
160,"(Religious, Comedy&SpokenWord)",1,,,,,,,
39,"(Reggae, Rock&Pop)",1,,,,,,,
24,"(Reggae, NewAge)",1,,,,,,,
110,"(R&B&Soul, Rock&Pop)",1,,,,,,,
103,"(R&B&Soul, Comedy&SpokenWord)",1,,,,,,,
35,"(R&B&Soul, Blues)",1,,,,,,,
99,"(R&B&Soul, Alternative&Punk)",1,,,,,,,
64,"(NewAge, Soundtracks&More)",1,,,,,,,
208,"(NewAge, Rock&Pop)",1,,,,,,,
236,"(NewAge, Latin)",1,,,,,,,
117,"(NewAge, Jazz)",1,,,,,,,
105,"(NewAge, Hip-Hop)",1,,,,,,,
193,"(Latin, Soundtracks&More)",1,,,,,,,
112,"(Latin, NewAge)",1,,,,,,,
251,"(Latin, Hip-Hop)",1,,,,,,,
239,"(Latin, Electronic&Dance)",1,,,,,,,
59,"(Jazz, World)",1,,,,,,,
161,"(Jazz, Soundtracks&More)",1,,,,,,,
56,"(Jazz, Rock&Pop)",1,,,,,,,
119,"(Jazz, EasyListening&Vocals)",1,,,,,,,
83,"(Jazz, Alternative&Punk)",1,,,,,,,
192,"(Hip-Hop, Religious)",1,,,,,,,
166,"(Hip-Hop, Reggae)",1,,,,,,,
185,"(Hip-Hop, R&B&Soul)",1,,,,,,,
221,"(Hip-Hop, Folk)",1,,,,,,,
25,"(Hip-Hop, Electronic&Dance)",1,,,,,,,
14,"(Hip-Hop, Comedy&SpokenWord)",1,,,,,,,
9,"(Folk, R&B&Soul)",1,,,,,,,
142,"(Folk, Classical)",1,,,,,,,
120,"(Folk, Childrens's)",1,,,,,,,
200,"(Electronic&Dance, R&B&Soul)",1,,,,,,,
202,"(Electronic&Dance, Jazz)",1,,,,,,,
215,"(EasyListening&Vocals, World)",1,,,,,,,
41,"(EasyListening&Vocals, Jazz)",1,,,,,,,
158,"(EasyListening&Vocals, Childrens's)",1,,,,,,,
85,"(EasyListening&Vocals, Blues)",1,,,,,,,
232,"(Country, Soundtracks&More)",1,,,,,,,
139,"(Country, Reggae)",1,,,,,,,
172,"(Comedy&SpokenWord, Soundtracks&More)",1,,,,,,,
244,"(Comedy&SpokenWord, Rock&Pop)",1,,,,,,,
203,"(Comedy&SpokenWord, Religious)",1,,,,,,,
69,"(Comedy&SpokenWord, Reggae)",1,,,,,,,
144,"(Comedy&SpokenWord, Latin)",1,,,,,,,
134,"(Comedy&SpokenWord, Country)",1,,,,,,,
62,"(Comedy&SpokenWord, Childrens's)",1,,,,,,,
249,"(Comedy&SpokenWord, Alternative&Punk)",1,,,,,,,
124,"(Classical, World)",1,,,,,,,
127,"(Childrens's, NewAge)",1,,,,,,,
90,"(Childrens's, Electronic&Dance)",1,,,,,,,
70,"(Blues, Rock&Pop)",1,,,,,,,
168,"(Blues, Religious)",1,,,,,,,
140,"(Blues, Alternative&Punk)",1,,,,,,,
92,"(Alternative&Punk, World)",1,,,,,,,
12,"(Alternative&Punk, Reggae)",1,,,,,,,
216,"(Alternative&Punk, Jazz)",1,,,,,,,
