,original vs detected,count
117,"(Reggae, Electronic&Dance)",1
118,"(Blues, Childrens's)",3
119,"(Childrens's, Jazz)",9
120,"(Jazz, Childrens's)",5
121,"(NewAge, Jazz)",7
122,"(Jazz, EasyListening&Vocals)",1
123,"(Folk, NewAge)",1
124,"(Folk, Childrens's)",2
125,"(R&B&Soul, Country)",5
126,"(EasyListening&Vocals, Folk)",4
127,"(NewAge, NewAge)",5
128,"(Latin, Rock&Pop)",2
129,"(Classical, Religious)",1
130,"(Classical, World)",2
131,"(Country, Jazz)",3
132,"(Childrens's, Country)",6
133,"(Childrens's, NewAge)",2
134,"(EasyListening&Vocals, Soundtracks&More)",2
135,"(World, Rock&Pop)",2
136,"(Religious, Latin)",3
137,"(Alternative&Punk, Rock&Pop)",14
138,"(R&B&Soul, Folk)",5
139,"(Comedy&SpokenWord, Country)",3
140,"(EasyListening&Vocals, Comedy&SpokenWord)",4
141,"(Folk, Soundtracks&More)",1
142,"(EasyListening&Vocals, Classical)",6
143,"(Rock&Pop, Rock&Pop)",5
144,"(Country, Reggae)",1
145,"(Blues, Alternative&Punk)",1
146,"(Childrens's, Childrens's)",6
147,"(EasyListening&Vocals, Rock&Pop)",1
148,"(Folk, Latin)",5
149,"(EasyListening&Vocals, Country)",7
150,"(Electronic&Dance, Country)",2
151,"(Childrens's, EasyListening&Vocals)",2
152,"(Electronic&Dance, NewAge)",1
153,"(Country, Rock&Pop)",3
154,"(Folk, Electronic&Dance)",1
155,"(Blues, Soundtracks&More)",3
156,"(World, Jazz)",5
157,"(Soundtracks&More, World)",3
158,"(Hip-Hop, EasyListening&Vocals)",2
159,"(Electronic&Dance, Latin)",6
160,"(Reggae, Country)",5
161,"(Soundtracks&More, Jazz)",3
162,"(Hip-Hop, World)",1
163,"(EasyListening&Vocals, Childrens's)",2
164,"(NewAge, Blues)",3
165,"(Religious, Comedy&SpokenWord)",2
166,"(Hip-Hop, Alternative&Punk)",4
167,"(Country, R&B&Soul)",1
168,"(Comedy&SpokenWord, R&B&Soul)",2
169,"(Rock&Pop, Alternative&Punk)",4
170,"(NewAge, Religious)",4
171,"(Latin, Comedy&SpokenWord)",3
172,"(Hip-Hop, Reggae)",10
173,"(Classical, Soundtracks&More)",3
174,"(Latin, Latin)",4
175,"(Blues, Religious)",3
176,"(Blues, Folk)",6
177,"(World, Latin)",1
178,"(Comedy&SpokenWord, Soundtracks&More)",1
179,"(EasyListening&Vocals, EasyListening&Vocals)",1
180,"(Childrens's, Folk)",4
181,"(Religious, Alternative&Punk)",10
182,"(Blues, Country)",4
183,"(Rock&Pop, Electronic&Dance)",2
184,"(Folk, Religious)",3
185,"(Soundtracks&More, Childrens's)",3
186,"(Religious, Rock&Pop)",10
187,"(Rock&Pop, Comedy&SpokenWord)",4
188,"(Classical, Classical)",17
189,"(Religious, Country)",8
190,"(Jazz, Blues)",3
191,"(Soundtracks&More, EasyListening&Vocals)",6
192,"(Classical, Alternative&Punk)",1
193,"(Soundtracks&More, Religious)",3
194,"(Hip-Hop, R&B&Soul)",11
195,"(EasyListening&Vocals, Alternative&Punk)",2
196,"(Jazz, Religious)",3
197,"(World, Comedy&SpokenWord)",3
198,"(NewAge, Electronic&Dance)",1
199,"(Comedy&SpokenWord, Jazz)",3
200,"(Reggae, Alternative&Punk)",4
201,"(Comedy&SpokenWord, NewAge)",1
202,"(Jazz, Reggae)",2
203,"(R&B&Soul, Childrens's)",2
204,"(Country, Blues)",5
205,"(Latin, Soundtracks&More)",1
206,"(Hip-Hop, Blues)",3
207,"(Childrens's, Alternative&Punk)",2
208,"(Alternative&Punk, Soundtracks&More)",1
209,"(Soundtracks&More, Folk)",4
210,"(R&B&Soul, Jazz)",7
211,"(EasyListening&Vocals, NewAge)",6
212,"(Childrens's, Blues)",6
213,"(Electronic&Dance, R&B&Soul)",9
214,"(Classical, Jazz)",8
215,"(Electronic&Dance, Jazz)",3
216,"(Country, Comedy&SpokenWord)",1
217,"(Folk, Country)",4
218,"(Folk, Comedy&SpokenWord)",4
219,"(Latin, Jazz)",3
220,"(NewAge, Rock&Pop)",4
221,"(Rock&Pop, Reggae)",1
222,"(Reggae, Hip-Hop)",4
223,"(Reggae, Childrens's)",3
224,"(Reggae, Reggae)",6
225,"(Rock&Pop, EasyListening&Vocals)",1
226,"(Country, Country)",10
227,"(EasyListening&Vocals, World)",2
228,"(Alternative&Punk, Jazz)",1
229,"(World, Religious)",6
230,"(Rock&Pop, Latin)",1
231,"(Rock&Pop, Blues)",4
232,"(NewAge, Reggae)",1
233,"(Soundtracks&More, Soundtracks&More)",7
234,"(Jazz, Country)",9
235,"(Electronic&Dance, Electronic&Dance)",14
236,"(Rock&Pop, Childrens's)",2
237,"(Rock&Pop, Classical)",2
238,"(Latin, Reggae)",4
239,"(Religious, Childrens's)",2
240,"(Folk, Folk)",6
241,"(Comedy&SpokenWord, Comedy&SpokenWord)",24
242,"(Religious, EasyListening&Vocals)",2
243,"(Country, EasyListening&Vocals)",2
244,"(Alternative&Punk, Country)",5
245,"(NewAge, Latin)",1
246,"(Reggae, EasyListening&Vocals)",2
247,"(Reggae, Comedy&SpokenWord)",3
248,"(Folk, Reggae)",2
249,"(World, Alternative&Punk)",3
250,"(World, World)",1
251,"(Latin, Blues)",2
252,"(Folk, World)",5
253,"(Folk, Blues)",1
254,"(Hip-Hop, Hip-Hop)",3
255,"(Comedy&SpokenWord, Rock&Pop)",2
256,"(Electronic&Dance, EasyListening&Vocals)",1
257,"(Reggae, Latin)",5
258,"(Childrens's, R&B&Soul)",2
259,"(EasyListening&Vocals, Latin)",1
260,"(Classical, Folk)",5
261,"(Jazz, Latin)",2
262,"(Comedy&SpokenWord, Alternative&Punk)",1
