['1By1AaGzTMrWRLoNZYFilk', 'https://p.scdn.co/mp3-preview/92e2a1ffdc9aaadc11bb8cbd600c3ab78281627d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Cry Our Little Eyes Out', 'Cut Yourself a Switch', 'Catherine Irwin', 0]
['0gPQTLaqHDgdupKEok7J2x', 'https://p.scdn.co/mp3-preview/f6a8618da142be60cf0748da026b1cfdbc74bee1?cid=802d45d459874f0386ed3e9c79d0c6df', '7 Days', 'Born to Do It', 'Craig David', 72]
['4qs5MSrmLmeWkVKxlTHuMS', 'https://p.scdn.co/mp3-preview/2bc1b3404c661b2dcf888752776a012112d4463d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Pinocchio', 'Crazy Frog presents Crazy Hits', 'Crazy Frog', 41]
['0h1fMeDZFMwGiWiHkIbBcp', 'https://p.scdn.co/mp3-preview/7d34aef4ebb2f5e65ef7d05fe9232f1c3b6bc10e?cid=802d45d459874f0386ed3e9c79d0c6df', 'We Are The Champions (Ding A Dang Dong) - Radio Edit', '"More Crazy Hits" By The Crazy Frog', 'Crazy Frog', 45]
['4BggEwLhGfrbrl7JBhC8EC', 'https://p.scdn.co/mp3-preview/4cff2efda17502e618e3b7533711ac50dc1d9982?cid=802d45d459874f0386ed3e9c79d0c6df', 'Butterfly', 'The Gift Of Game', 'Crazy Town', 74]
['1ZozJfi8u9cO2Ob8KwiwNT', 'https://p.scdn.co/mp3-preview/0d0f8b4d531f8c9780b55aa79285e76085e38132?cid=802d45d459874f0386ed3e9c79d0c6df', 'Higher', 'Human Clay', 'Creed', 72]
['0eKyHwckh9vQb8ncZ2DXCs', 'https://p.scdn.co/mp3-preview/2a8dad7f670ca384e133ae7f6194a8f6df13bbf7?cid=802d45d459874f0386ed3e9c79d0c6df', 'With Arms Wide Open', 'Human Clay', 'Creed', 66]
['2h9pEUjOjOuxxluZr7nOvh', 'https://p.scdn.co/mp3-preview/1d6f6abb97054a5f396ada978513debe90b132b0?cid=802d45d459874f0386ed3e9c79d0c6df', 'Black Mass', 'The Stranger', 'Creeper', 25]
['4vlHs2dNzAZqbZLsNiB96R', 'https://p.scdn.co/mp3-preview/4cc85281b7dd245aab8375290349920f7d0b94ed?cid=802d45d459874f0386ed3e9c79d0c6df', 'Can You Feel the Love Tonight', 'Hochzeitswalzer (Die besten Brauttänze aus Pop und Klassik)', 'Band4Dancers', 14]
['2Ch7F5qC1NS5gNLEmPiRao', 'https://p.scdn.co/mp3-preview/02acb21e5404599869ecbbe8118aff2069a7be8b?cid=802d45d459874f0386ed3e9c79d0c6df', 'the non-fiction days', 'Brand New MAID', 'BAND-MAID', 36]
['1Qq3kLDXNcLrWDfzVergHb', 'https://p.scdn.co/mp3-preview/69b34934424c94937ab49392018ba3a953b89631?cid=802d45d459874f0386ed3e9c79d0c6df', 'Bang Bang', 'To Legionowo', 'Bang Bang', 0]
['4xiaE15ARCs5CVPA6J8gmC', 'https://p.scdn.co/mp3-preview/c2dbb02a5c7749404d10924493e32385e2ef89b9?cid=802d45d459874f0386ed3e9c79d0c6df', 'Eternal Flame', 'Everything', 'The Bangles', 57]
['5L6HNuXN71bfeuKXYtRasF', 'https://p.scdn.co/mp3-preview/3c4235c81260b0406b12ff62844bb93dcc9d9242?cid=802d45d459874f0386ed3e9c79d0c6df', 'Walk Like an Egyptian', 'Different Light (Expanded Edition)', 'The Bangles', 59]
['5YJ6YFpE9wSudazWsMgYO8', 'https://p.scdn.co/mp3-preview/2d6fba392889a2652fae091fd0ae7002ee627e19?cid=802d45d459874f0386ed3e9c79d0c6df', 'What You Gonna Do', 'What You Gonna Do / Before The Storm', 'Bar9', 9]
['4ptASyfeqsT8Tgk0IiKvoB', 'https://p.scdn.co/mp3-preview/dc7be271fc0fdcfb286ce31805bca2e97741cb61?cid=802d45d459874f0386ed3e9c79d0c6df', 'Damn! (Remember the Time) - Original Radio', 'Damn! (Remember The Time) [5"]', 'Baracuda', 40]
['5Tu7jHYI2506aq8ZvPoU2g', 'https://p.scdn.co/mp3-preview/8beb279d37a30d4c40a84f7e758493025cb3b5b2?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lose Control', 'Rosalita', 'Barbados', 6]
['1pTGc8pwyo6xtgXBKCBcFn', 'https://p.scdn.co/mp3-preview/b9243bde5901c2b94cbaeaffcc8ccf456510939b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Woman in Love', 'Guilty', 'Barbra Streisand', 69]
['2Rw2wUwV72d6Kw4oPaTwYt', 'https://p.scdn.co/mp3-preview/413552a5c7a0ff15d9e93bd81f729d628c1b3ba1?cid=802d45d459874f0386ed3e9c79d0c6df', 'Berlin', 'XII', 'Barclay James Harvest', 13]
['4oM7IyRTauEp8nz0A1xGsa', 'https://p.scdn.co/mp3-preview/d57c51a57084d4da0bb3ddb4074f014ffbeca3f9?cid=802d45d459874f0386ed3e9c79d0c6df', 'Galadriel', 'Once Again', 'Barclay James Harvest', 27]
['3e4xA3tn4QtSDwsKe9NgEA', 'https://p.scdn.co/mp3-preview/583b2f9252a17a111276ac034c89f288287cae18?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hymn', 'Gone To Earth', 'Barclay James Harvest', 27]
['5tWWAYSRvpU0MQV9NnJxaY', 'https://p.scdn.co/mp3-preview/2ca519496cb388e9afab1f6bcaa1721d7db13dc5?cid=802d45d459874f0386ed3e9c79d0c6df', 'Titles', 'Time Honoured Ghosts', 'Barclay James Harvest', 34]
['06MaHjSGleJNvfsugH0mFi', 'https://p.scdn.co/mp3-preview/59cf20484cbc72fe6e211dc6e2b4fb2142344000?cid=802d45d459874f0386ed3e9c79d0c6df', 'Dooh Dooh', 'Swipe Me', 'Barcode Brothers', 53]
['5JJJvX5q8IXWAbaspeoTE1', 'https://p.scdn.co/mp3-preview/cc620551aefebaa73db0333c793742cf6b8fd28d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Flute - Radio Edit', 'Flute', 'Barcode Brothers', 47]
['5JJJvX5q8IXWAbaspeoTE1', 'https://p.scdn.co/mp3-preview/cc620551aefebaa73db0333c793742cf6b8fd28d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Flute - Radio Edit', 'Flute', 'Barcode Brothers', 47]
['58bJAYDGscgIQeNOqbFj1Y', 'https://p.scdn.co/mp3-preview/1f12ce3596a25bc316f97bfedc2b5ce1d5b61427?cid=802d45d459874f0386ed3e9c79d0c6df', 'Flute - Extended Version', 'Flute', 'Barcode Brothers', 20]
['4wXIpLayU6E7yuRvjzngfn', 'https://p.scdn.co/mp3-preview/262f58ca2526a66738c3d609b159334ab213b37f?cid=802d45d459874f0386ed3e9c79d0c6df', 'Flute - Musikk Remix', 'Flute', 'Barcode Brothers', 12]
['1wrT33b6HuKlpk9ziscEUY', 'https://p.scdn.co/mp3-preview/446b5d86b8e2efc2d99474025153b16154550903?cid=802d45d459874f0386ed3e9c79d0c6df', 'Baby Jane - 2008 Remaster', 'Body Wishes', 'Rod Stewart', 64]
['2JWKzkQbYsNzx019WyGzaH', 'https://p.scdn.co/mp3-preview/fd4162fc875df2d0d1498ee5c9670494ffb7a4a7?cid=802d45d459874f0386ed3e9c79d0c6df', "I Don't Want to Talk About It - 2008 Remaster", 'Atlantic Crossing', 'Rod Stewart', 69]
['6OuRbvP4PgbuzBIapVzmFJ', 'https://p.scdn.co/mp3-preview/ca0edf9df7b06cd610b90033ff9e8ce499361dc9?cid=802d45d459874f0386ed3e9c79d0c6df', 'Sailing', 'Atlantic Crossing', 'Rod Stewart', 68]
['53Eqyg5eFqyuUCaSwozq4f', 'https://p.scdn.co/mp3-preview/a9bd7de50ced1603b988e5c524ccf7874c1050eb?cid=802d45d459874f0386ed3e9c79d0c6df', 'Some Guys Have All the Luck', 'Camouflage (Expanded Edition)', 'Rod Stewart', 53]
['3Fq5ppF5r5ZvxaNOQNtLW5', 'https://p.scdn.co/mp3-preview/08bda9cf8e5c502583728e8d9335525b771271b9?cid=802d45d459874f0386ed3e9c79d0c6df', 'This Old Heart of Mine - 2008 Remaster', 'Atlantic Crossing', 'Rod Stewart', 39]
['0JONEkhZnxups17JKt9Kbe', 'https://p.scdn.co/mp3-preview/528a60b374505245440215e242de82bbf22701c5?cid=802d45d459874f0386ed3e9c79d0c6df', 'Ich atme ein - New Version', 'Männersachen', 'Roger Cicero', 34]
['2mFaAyxMvTr9q2Na0A0TLC', 'https://p.scdn.co/mp3-preview/11103e6ef3c1ec30fd621d3881e0c5833fb0a7a4?cid=802d45d459874f0386ed3e9c79d0c6df', 'Zieh die Schuh aus', 'Männersachen', 'Roger Cicero', 44]
['1GkFNhI8d1i5x5WTgRmFL6', 'https://p.scdn.co/mp3-preview/364e896b161fa3e4ac0971a6158a557d77205f77?cid=802d45d459874f0386ed3e9c79d0c6df', '2Gether (Eden Prince Remix)', '2Gether (Eden Prince Remix)', 'Roger Sanchez', 43]
['3e5o2U4bvViopkUEGNp1B7', 'https://p.scdn.co/mp3-preview/2fe6dfd273829fe293674cc62c18677b81f632ee?cid=802d45d459874f0386ed3e9c79d0c6df', 'Another Chance', 'First Contact', 'Roger Sanchez', 34]
['2VOCdVAnaqqY7jHLIruDrJ', 'https://p.scdn.co/mp3-preview/85b9edf47aff056ba99df60569ded1cfd258388a?cid=802d45d459874f0386ed3e9c79d0c6df', '2Gether (feat. Kanobby) [Pitro & Sanna Radio Edit]', '2Gether (feat. Kanobby)', 'Roger Sanchez', 2]
['1BsQ3LI0v8xZP2oAiXUWy4', 'https://p.scdn.co/mp3-preview/a953eedcffd62588bb13d688369f9612c66aeab7?cid=802d45d459874f0386ed3e9c79d0c6df', 'River Lady (A Little Goodbye)', 'Now and Then: 1964 - 2004', 'Roger Whittaker', 7]
['2GYHyAoLWpkxLVa4oYTVko', 'https://p.scdn.co/mp3-preview/6f72b5cb2c2c046f9d1d525b8b2389947e3ed193?cid=802d45d459874f0386ed3e9c79d0c6df', 'Alors on danse - Radio Edit', 'Cheese', 'Stromae', 80]
['1QFw2xxyQtgKjlrMCEqsNj', 'https://p.scdn.co/mp3-preview/060f9258dac7eaf0a4fa8f603a709016ec50064a?cid=802d45d459874f0386ed3e9c79d0c6df', 'Papaoutai', 'Racine Carrée (Standard US Version)', 'Stromae', 58]
['2GYHyAoLWpkxLVa4oYTVko', 'https://p.scdn.co/mp3-preview/6f72b5cb2c2c046f9d1d525b8b2389947e3ed193?cid=802d45d459874f0386ed3e9c79d0c6df', 'Alors on danse - Radio Edit', 'Cheese', 'Stromae', 80]
['2Kfgnd9iUBLGbJWeku9SQI', 'https://p.scdn.co/mp3-preview/aeaa5c56c6a602187cac97a17d8da1b8f3937ecb?cid=802d45d459874f0386ed3e9c79d0c6df', 'Mahtisonni', 'Mahtisonni', 'Suamenlejjona', 26]
['0ndkewAmqEBy1wCWgctvPx', 'https://p.scdn.co/mp3-preview/ede650fef45b3e1e58ecd58913bc06d0e2c4cb40?cid=802d45d459874f0386ed3e9c79d0c6df', 'Berlin', 'Macht', 'Substaat', 25]
['4l9nIGnmQlitvF4giuMX2D', 'https://p.scdn.co/mp3-preview/0676b7cc94eebe51b925d211bf6fecbe8360f2a1?cid=802d45d459874f0386ed3e9c79d0c6df', 'I Feed You My Love', 'Macht', 'Substaat', 16]
['0ek9zs3MlJMBJXmePVL95U', 'https://p.scdn.co/mp3-preview/c2db5d3955f3a72213057bda4681cc2a0d34a7aa?cid=802d45d459874f0386ed3e9c79d0c6df', 'Tech Head', 'Macht', 'Substaat', 2]
['6yyN7V1FvzwLlsNMLehTBo', 'https://p.scdn.co/mp3-preview/c0ac8ea6f418265483d8d87a371201dccbbb2d1c?cid=802d45d459874f0386ed3e9c79d0c6df', 'Electric', 'Macht', 'Substaat', 13]
['13BwzoLTZIPQUHcdsHgAiA', 'https://p.scdn.co/mp3-preview/08238a352e184c3ee9ea253bb62452c16c74a322?cid=802d45d459874f0386ed3e9c79d0c6df', 'Macht', 'Macht', 'Substaat', 16]
['0r2Ju9qK5899ATzIW86hzp', 'https://p.scdn.co/mp3-preview/4012f204c45f92fab402048949979092abb0b282?cid=802d45d459874f0386ed3e9c79d0c6df', 'Full Access', 'Macht', 'Substaat', 4]
['2BqFSxpNgX0jER2QdSHzcf', 'https://p.scdn.co/mp3-preview/8c0c26918f04d97ef2e9f83a6174922b230afc89?cid=802d45d459874f0386ed3e9c79d0c6df', 'Watch', 'Macht', 'Substaat', 2]
['2bJKTxmYRxr4Pg163zDhJL', 'https://p.scdn.co/mp3-preview/4aa407f365148ec55feb4b25b5684164362d8d66?cid=802d45d459874f0386ed3e9c79d0c6df', 'Restart', 'Macht', 'Substaat', 1]
['6PIVzyACbehcPv3UQPnRu8', 'https://p.scdn.co/mp3-preview/5e511b0b2cf139c44a550adc1a3dbc3298b5410a?cid=802d45d459874f0386ed3e9c79d0c6df', 'Refused', 'Macht', 'Substaat', 1]
['6YCbMYzKj6DaXbX1BIBIXE', 'https://p.scdn.co/mp3-preview/825097fea03bd8128fa262a38dd494c6e37725a7?cid=802d45d459874f0386ed3e9c79d0c6df', 'Guilty Pleasure', 'Macht', 'Substaat', 3]
['0DEhIofE0A2QLo6bSvl4qD', 'https://p.scdn.co/mp3-preview/b645dedbcd254e822f541fd8236420333c946e10?cid=802d45d459874f0386ed3e9c79d0c6df', 'Electric - Mesh Remix', 'Macht', 'Substaat', 2]
['4cfMZimJnCu5ytTyLsEvIY', 'https://p.scdn.co/mp3-preview/260bee6d05c965a98b25d6eb65dfcf5e407e344b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Sanjao sam moju Ružicu', 'Kuda ide ovaj vlak', 'Leteći Odred', 40]
['7svxm1CamJHrlUqMfeuEFe', 'https://p.scdn.co/mp3-preview/70b8c976076b96df1c6cf17554b4d093a915172f?cid=802d45d459874f0386ed3e9c79d0c6df', 'Banshee (Ghost Fame)', 'The Blackest Beautiful', 'letlive.', 35]
['08nDVvIvXJPWPf4iiaZV63', 'https://p.scdn.co/mp3-preview/e592e3ab70d356a4cb4b83f671cf4559a74d6dc5?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lichtreise - Original Mischung', 'Lichtreise', 'Leuchtturm Inkl. Sandberg', 1]
['7mxqvLADuUUbmkTFZ4NkrA', 'https://p.scdn.co/mp3-preview/9d6ad979f98fb97b195b21e545f3b021dc443921?cid=802d45d459874f0386ed3e9c79d0c6df', 'Klippensprung - Andere Kurzmischung', 'Klippensprung', 'Leuchtturm inkl Sandberg', 5]
['7mxqvLADuUUbmkTFZ4NkrA', 'https://p.scdn.co/mp3-preview/9d6ad979f98fb97b195b21e545f3b021dc443921?cid=802d45d459874f0386ed3e9c79d0c6df', 'Klippensprung - Andere Kurzmischung', 'Klippensprung', 'Leuchtturm inkl Sandberg', 5]
['3EGI5qmVmGlfgy9BmNb1R8', 'https://p.scdn.co/mp3-preview/1898c37a805a9354d64cd5dcc44f589d2cf99a1d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lessons In Love', 'Running In The Family', 'Level 42', 68]
['5jT7xfuNUTv9yMfKh1r8lX', 'https://p.scdn.co/mp3-preview/d8619b0d192a07f36a5c4b31f4b5be656ba7493f?cid=802d45d459874f0386ed3e9c79d0c6df', 'If You Run (Original Mix)', 'Back to the B**ch (Mixed by DJ Toka)', 'Lexer', 12]
['5TWZXUTYsYcabpITcBdLKA', 'https://p.scdn.co/mp3-preview/ddc8dfa9516b530d6a3d0eaf6ebc673c9eaf4aa1?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hallo', 'Trash Like Us', 'Lexy & K-Paul', 10]
['44z9353xEqYcouEEmVC091', 'https://p.scdn.co/mp3-preview/fb363fb8b1364932c0e9ec6297bdfdc393701205?cid=802d45d459874f0386ed3e9c79d0c6df', 'Wide Road - Original', 'Trash Like Us', 'Lexy & K-Paul feat. Dorian E', 8]
['54qTNh1d9t8VccAxSPdrFr', 'https://p.scdn.co/mp3-preview/cf29a4c2a38a4b5c99cf92f8dc9a083aee6fa916?cid=802d45d459874f0386ed3e9c79d0c6df', 'Trash Like Us', 'Trash Like Us', 'Lexy & K-Paul', 9]
['7eEjgwPU9uABEGKRqt3WEN', 'https://p.scdn.co/mp3-preview/fc61947dba07f1007e4e5408c63dc4c69bb5d3ee?cid=802d45d459874f0386ed3e9c79d0c6df', 'Bullet', 'Trash Like Us', 'Lexy & K-Paul', 3]
['4p0iXLaF1kNE1zPYdMBDIv', 'https://p.scdn.co/mp3-preview/f5deb1082cbe79232f0899b8f445371fdb22896e?cid=802d45d459874f0386ed3e9c79d0c6df', 'The Clap', 'Trash Like Us', 'Lexy & K-Paul', 11]
['30CyZgn4rveZhpywoWG4n9', 'https://p.scdn.co/mp3-preview/9816be58c2dcf5e047167d906bd27b10d7ca58ea?cid=802d45d459874f0386ed3e9c79d0c6df', 'Ponyboy', 'Trash Like Us', 'Lexy & K-Paul', 8]
['5EXXpO8WXDjC0U9nDIyXYo', 'https://p.scdn.co/mp3-preview/4c1ebf6802c6cdbd713aeeab4de9337d3024dcb5?cid=802d45d459874f0386ed3e9c79d0c6df', 'Gettin Nasty', 'Trash Like Us', 'Lexy & K-Paul', 1]
['09oXcubOtA7wl4xpJFg0DE', 'https://p.scdn.co/mp3-preview/161da1166aa001bbb2f25d2dcfea49a483c50688?cid=802d45d459874f0386ed3e9c79d0c6df', 'Church Of Rave', 'Trash Like Us', 'Lexy & K-Paul', 2]
['1wiWjxENgDeVb9Wz2GQ4E9', 'https://p.scdn.co/mp3-preview/ebc84a66e82401c3fb594cb94d0629733d59043b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Sekunden', 'Trash Like Us (Limited Edition)', 'Lexy & K-Paul', 6]
