,_1,_2,_3
25,music/Jazz/MichaelWollnyVincentPeiraniTheKissmp3,"[0.341536570593, 0.361837537402, 0.63609049845, 0.868681715772, 0.207145895364, 0.183677452898, 0.285404709735, 0.242012882228]",0.39079840780524
26,music/Klassik/Mozart_RequiemInDMinorK626-3Sequentia_Lacrimosamp3,"[0.388030317318, 0.388000610165, 0.580399323197, 0.940250529899, 0.125903870693, 0.220297423243, 0.375949139392, 0.152380866932]",0.39640151010485114
27,music/Pop/AnnaBurch-2Cool2Caremp3,"[0.355103002653, 0.405681136328, 0.816805088085, 0.926622903586, 0.142067205444, 0.258037643448, 0.114131853456, 0.153419706904]",0.39648356748782665
28,music/Soundtrack/MassEffect3-LeavingEarthmp3,"[0.337940321141, 0.328662494345, 0.699266716161, 0.919317263277, 0.0761378136963, 0.538516642635, 0.137620064619, 0.136566520876]",0.3967534795938289
29,music/Electronic/AlanWalker-Fadedmp3,"[0.443491601766, 0.541955353618, 0.80836091436, 0.877206267568, 0.0905997447895, 0.194898287622, 0.0917983921178, 0.138504020777]",0.39835182282734144
30,music/Pop/AliottaHaynesJeremiah-LakeShoreDrivemp3,"[0.339198644208, 0.320737448952, 0.782747280519, 0.91509949034, 0.103785623139, 0.406546553786, 0.182158075542, 0.153598365843]",0.40048393529120296
31,music/Pop/ElectricLightOrchestra-MrBlueSkymp3,"[0.346189737845, 0.348837641984, 0.744684684784, 0.890981865381, 0.270948532539, 0.357552277022, 0.1347074645, 0.125279887845]",0.40239776148746353
32,music/Jazz/BuddyRich-Caravan(Remastered2015)mp3,"[0.271111914832, 0.254048759866, 0.669871380153, 0.821357689344, 0.562739259889, 0.253643327691, 0.247706407568, 0.146420308075]",0.40336238092749566
33,music/Klassik/JStraussI_Radetzky-MarschOp228mp3,"[0.339538433577, 0.330252125532, 0.73040593363, 0.978806978554, 0.0727350063803, 0.356201759301, 0.27217285034, 0.147097193084]",0.4034012850498133
34,music/Metal/Amorphis-HouseOfSleepmp3,"[0.293684606031, 0.25261469203, 0.828936525762, 0.901740840134, 0.174819225861, 0.490826122635, 0.178650598593, 0.116718413228]",0.404748878034247
35,music/Soundtrack/Interstellar-NoTimeforCautionmp3,"[0.377547604715, 0.443706369203, 0.873351969494, 0.799571797173, 0.165036154828, 0.245724734022, 0.191742346198, 0.146583722309]",0.4054080872428054
36,music/Rock/BillyTalent-CurefortheEnemymp3,"[0.397264187225, 0.407324204383, 0.710322674521, 0.934161311235, 0.162484049341, 0.311936504915, 0.208678609677, 0.117912188401]",0.40626046621221834
37,music/Rock/Blink-182-Adam'sSongmp3,"[0.357434707941, 0.310739033295, 0.797582194536, 0.906346530817, 0.177796682263, 0.366226318507, 0.223258341443, 0.116516298403]",0.40698751340060324
38,music/WorldMusic/Wardruna-Wunjomp3,"[0.31276702583, 0.289814803711, 0.847820801371, 0.894980623407, 0.262441514249, 0.393145830511, 0.132076707361, 0.134503322258]",0.40844382858747974
39,music/Electronic/Dynatron-PulsePowermp3,"[0.401157553124, 0.359958681276, 0.877755773946, 0.758357130008, 0.264993619736, 0.400781257574, 0.129605124501, 0.104794127975]",0.4121754085176247
40,music/Soundtrack/Vikings-FlokiAppearstoKillAthelstanmp3,"[0.342869252177, 0.397266479599, 0.655288564002, 0.969734674516, 0.116546150574, 0.488374604454, 0.202437943372, 0.129434952731]",0.41274407767827853
41,music/Pop/Sigrid-Strangersmp3,"[0.495251936594, 0.562838837685, 0.783206807303, 0.860908586136, 0.148447469162, 0.17528946221, 0.165539349003, 0.113828307152]",0.41316384440560994
42,music/Klassik/Pachelbel_CanonAndGigueInDMajor-1Canonmp3,"[0.351464316014, 0.356061273768, 0.707034278515, 0.940883073184, 0.145044661846, 0.559279471493, 0.158445353244, 0.143894014371]",0.42026330530443295
43,music/Metal/OmniumGatherum-NewWorldShadowsmp3,"[0.314279932895, 0.2970774451, 0.832788002121, 0.937606750667, 0.264568268822, 0.246753153648, 0.413533065844, 0.0620824775774]",0.42108613708415277
44,music/WorldMusic/TheHU-WolfTotemmp3,"[0.392718845203, 0.392762174441, 0.878924290478, 0.955546479463, 0.180774138664, 0.339565820268, 0.113384337617, 0.120359424258]",0.4217544387990008
45,music/Pop/FoolsGarden-LemonTreemp3,"[0.434897210457, 0.523838587475, 0.944232745635, 0.949168461272, 0.13313483624, 0.206453054768, 0.0796345546481, 0.117781200311]",0.42364258135080535
46,music/Metal/Gojira-Globalwarmingmp3,"[0.349810542743, 0.342037340978, 0.774170471661, 0.820163072932, 0.279880901744, 0.216422993909, 0.505602936468, 0.104317113987]",0.4240506718028441
47,music/Klassik/Liszt-Totentanzmp3,"[0.368297552018, 0.375727367447, 0.57634214716, 0.680210875609, 0.733304976606, 0.291914331726, 0.191906827618, 0.176298380398]",0.4242503073225029
48,music/Metal/SystemOfADown-Toxicitymp3,"[0.386910270949, 0.476673068946, 0.680784454254, 0.943529836675, 0.148447469162, 0.470201201995, 0.216783278218, 0.0959591073772]",0.42741108594699206
49,music/Metal/Uada-BlackAutumnWhiteSpringmp3,"[0.273081322034, 0.230575091147, 0.563396111665, 0.880425441605, 0.346660995321, 0.608037878616, 0.374187956641, 0.150629188875]",0.42837424823790976
50,music/Electronic/MartinGarrix-Animals(OriginalMix)mp3,"[0.41976176952, 0.433260821078, 0.869351863565, 0.875673335649, 0.232666950234, 0.296521877408, 0.229145218049, 0.133520235967]",0.43623775893360134
51,music/Reggae/DamianMarley-Confrontationmp3,"[0.46040453973, 0.489687540063, 0.772939340084, 0.953836058482, 0.222033177371, 0.347814201906, 0.161707814668, 0.11690562201]",0.44066603678934596
52,music/Metal/DarkTranquillity-PunishMyHeavenmp3,"[0.300848858633, 0.291383568793, 0.719971444797, 0.910842013797, 0.214802211825, 0.61474624449, 0.374470266908, 0.100529073302]",0.440949210318198
53,music/Pop/CamilaCabello-Havanamp3,"[0.633171419323, 0.676408242832, 0.741617809101, 0.906304396822, 0.119098256061, 0.212571598763, 0.124763676099, 0.134571923087]",0.44356341526086124
54,music/Rock/RiseAgainst-PrayeroftheRefugeemp3,"[0.350382983221, 0.345923201064, 0.567469859249, 0.983904037142, 0.131008081667, 0.592901484905, 0.390218256449, 0.189825573474]",0.44395418464650166
55,music/WorldMusic/AndreyVinogradov-MedievalTunemp3,"[0.363568703265, 0.280435368455, 0.63044733764, 0.886935683414, 0.120799659719, 0.574418214409, 0.47494346634, 0.256300008183]",0.44848105517822767
56,music/Rock/RedHotChiliPeppers-Snow(HeyOh)mp3,"[0.441394993708, 0.548318054032, 0.669079874415, 0.932692564852, 0.18417694598, 0.502136844038, 0.203242822081, 0.137669727805]",0.45233897836400117
57,music/Rock/Wallows-ScrawnyExplicitmp3,"[0.507931485944, 0.500914285038, 0.855726429945, 0.945287738864, 0.10761378137, 0.387891295943, 0.212583279274, 0.109331010949]",0.4534099134159496
58,music/WorldMusic/TheHU-YuveYuveYump3,"[0.401495266767, 0.402052153061, 0.897546710772, 0.935825080744, 0.212675457252, 0.485183808057, 0.17608002051, 0.13147682296]",0.45529191501535826
59,music/Electronic/Fytch-InTheseShadows(featCarmenForbes)mp3,"[0.387542045688, 0.460633887385, 0.958758071591, 0.867016844364, 0.280731603573, 0.229077342641, 0.308658982555, 0.154085343642]",0.45581301517993444
60,music/Electronic/Kadebostany-EarlyMorningDreams(KledMoneRemix)mp3,"[0.64340098153, 0.692988770023, 0.712408011143, 0.877692011399, 0.279880901744, 0.215767657172, 0.0977984091557, 0.131491687512]",0.45642855370984164
61,music/Reggae/DamianMarley-Pimpa'sParadisemp3,"[0.594432609827, 0.662800406283, 0.772750642082, 0.923301549859, 0.159081242025, 0.233765261354, 0.171636603605, 0.139475352993]",0.4571554585035095
62,music/Pop/Halsey-HeavenInHidingmp3,"[0.495115997672, 0.636703124227, 0.805807228133, 0.962673716282, 0.142492556359, 0.282819055095, 0.185811827902, 0.163525400776]",0.4593686133056194
63,music/Jazz/RaphaelWressnig-SeptemberNightsmp3,"[0.564549272378, 0.574683552958, 0.808916655566, 0.901764547118, 0.178647384092, 0.419584550806, 0.131711570932, 0.111620275838]",0.46143472621096926
64,music/Pop/DuaLipa-NewLovemp3,"[0.466867245332, 0.507540761705, 0.850674181303, 0.929555725063, 0.234793704806, 0.515926258368, 0.161239834882, 0.0537208861386]",0.46503982469959704
65,music/Metal/JudasPriest-Painkillermp3,"[0.31673700605, 0.287682245942, 0.584323980752, 0.911406347966, 0.216928966397, 0.620323222481, 0.57515359276, 0.210037859153]",0.46532415268752814
66,music/Reggae/BobMarley-NoWomanNoCrymp3,"[0.361304500406, 0.412738789387, 0.8264469447, 0.813097701615, 0.452148022118, 0.654452194616, 0.107887915985, 0.118992192509]",0.4683835326669004
67,music/Rock/TheOffspring-You'reGonnaGoFarKidmp3,"[0.502234853736, 0.512276724398, 0.766854371454, 0.897739319832, 0.104636324968, 0.504359364376, 0.301295315591, 0.166803974133]",0.46952503106098253
68,music/HipHop/Romano-Köpenickmp3,"[0.572081833141, 0.621317801038, 0.863462881374, 0.898455110985, 0.095278604849, 0.538449054971, 0.16421271445, 0.084325984801]",0.4796979982011357
69,music/Metal/InFlames-TheNewWordmp3,"[0.315518271106, 0.271341714236, 0.859798551069, 0.903800480245, 0.192258613356, 0.524575617483, 0.645581194086, 0.183709386128]",0.48707297846363773
70,music/Reggae/DamianMarley-HeyGirlmp3,"[0.814083921289, 0.746399276492, 0.611959721078, 0.980314221056, 0.132284134411, 0.186542715882, 0.276828085696, 0.152203186952]",0.48757690785692215
71,music/Electronic/CaravanPalace-LoneDiggermp3,"[0.640189513682, 0.769335651588, 0.887485823166, 0.936670262397, 0.151424925564, 0.20759163366, 0.181471100004, 0.130989205781]",0.4881447644801904
72,music/Jazz/PaoloFresuJanLundgren-Kristallendenfinamp3,"[0.338362374445, 0.414191449859, 0.553612479613, 0.839769223686, 0.125053168864, 0.420115212357, 1.0, 0.221979838579]",0.4891354684253646
73,music/HipHop/PrinzPi-KompassohneNordenmp3,"[0.674033374344, 0.764924061994, 0.759200992525, 0.974323372439, 0.111867290515, 0.405467345612, 0.106976718562, 0.136903254098]",0.4917120512609926
74,music/Electronic/MiikeSnow-GenghisKhanmp3,"[0.683074597775, 0.702740708961, 0.981921040168, 0.892354453978, 0.0842194810719, 0.317003748918, 0.157866833705, 0.127052298946]",0.4932791454404564
75,music/Metal/Metallica-MothIntoFlamemp3,"[0.366248869416, 0.363743302852, 0.72103037152, 0.91614830968, 0.174819225861, 0.641464009556, 0.598510183639, 0.185936803029]",0.49598763444415
76,music/Soundtrack/PiratesOfTheCarribean-HansZimmer-DavyJonesmp3,"[0.40443956304, 0.479572575586, 0.718162045396, 0.868488927271, 0.106337728626, 1.0, 0.300624822957, 0.142472617673]",0.5025122850686305
77,music/HipHop/KontraK-ErfolgistkeinGlückmp3,"[0.730167291763, 0.777727013366, 0.852985946576, 0.997211791002, 0.0786899191833, 0.394093150994, 0.157758495736, 0.0891808718757]",0.5097268100618957
78,music/Reggae/DamianMarley-RoadToZionmp3,"[0.700170423577, 0.711676658392, 0.726784855968, 0.856363140814, 0.177796682263, 0.468332575218, 0.317393688844, 0.124468260502]",0.5103732856971327
79,music/HipHop/IceCube-ItWasAGoodDaymp3,"[0.68999026452, 0.701950496144, 0.800532474785, 0.955750171167, 0.136112292641, 0.558994138697, 0.141491514876, 0.13389224385]",0.5148391995850197
80,music/Reggae/DamianMarley-Move!mp3,"[0.771971083494, 0.789252313364, 0.831996217982, 0.981554050975, 0.148022118248, 0.342647869732, 0.168284319011, 0.0961637806553]",0.5162364691827277
81,music/HipHop/ChiddyBang-OppositeOfAdultsmp3,"[0.793862304485, 0.817506740713, 0.857900452251, 0.944848159444, 0.0867715865589, 0.329567784486, 0.241349219478, 0.0828911522512]",0.5193371749585205
82,music/Metal/Eluveitie-Neverlandmp3,"[0.414277784184, 0.475403252874, 0.96906976734, 0.96917454357, 0.128881327095, 0.628537118994, 0.412537234485, 0.175147128217]",0.521628519594842
83,music/Reggae/DamianMarley-WelcomeToJamrockmp3,"[0.648098802121, 0.710424555089, 0.895609976787, 0.909943083374, 0.181199489579, 0.406008310535, 0.279903443381, 0.160439166083]",0.5239533533686933
84,music/Reggae/DamianMarley-Beautifulmp3,"[0.717442902636, 0.797704881793, 0.845755350282, 0.958455653781, 0.128881327095, 0.494941314349, 0.240695794073, 0.0465287645225]",0.5288007485664135
85,music/HipHop/Grits-HereWeGomp3,"[0.773489793819, 0.78554212774, 0.927336602385, 0.962122814215, 0.13696299447, 0.415429992606, 0.163027673171, 0.103693637436]",0.5334507044802917
86,music/Reggae/DamianMarley-TheMasterHasComeBackmp3,"[0.666291596926, 0.648479813974, 0.98832893868, 0.95349492619, 0.156529136538, 0.473523206938, 0.361383358186, 0.0704918170579]",0.5398153493110772
87,music/Pop/MichaelJackson-TheyDon'tCareAboutUsmp3,"[1.0, 0.929794472174, 0.826864223886, 0.958729529501, 0.135686941727, 0.180009891521, 0.163889979741, 0.163413895854]",0.5447986168004161
88,music/Klassik/Rachmaninoff-TheIsleoftheDeadOp29mp3,"[0.421341848497, 0.480695564127, 0.565232267057, 0.757277485253, 0.876648234794, 0.358552035968, 0.815058663693, 0.20274684479]",0.559694118022344
89,music/HipHop/Sido-Springraufmp3,"[0.781074647782, 0.80951352877, 0.881630961759, 0.944201810659, 0.113143343258, 0.544217043082, 0.387944241842, 0.116904084502]",0.5723287077069934
90,music/Reggae/DamianMarley-AllNightmp3,"[0.951313981863, 0.923067899523, 0.909579746647, 0.956371103971, 0.145470012761, 0.477117951555, 0.184369614945, 0.0645521449217]",0.5764803070232114
91,music/HipHop/DrDre-StillDREfeatSnoopDoggmp3,"[0.872581297685, 0.853127097826, 0.799485562196, 1.0, 0.142067205444, 0.505721077838, 0.326254476814, 0.16896257126]",0.5835249111331089
92,music/Electronic/Marshmello&Anne-Marie-Friendsmp3,"[0.805364644797, 1.0, 0.877899109507, 0.898760681781, 0.108889834113, 0.561314841232, 0.353289411226, 0.0743342430439]",0.5849815957125379
93,music/HipHop/257ers-Auseinandamp3,"[0.915547224761, 0.866183254975, 1.0, 0.946634362912, 0.125903870693, 0.572182102026, 0.301931562536, 0.136153627267]",0.6080670006464206
